"ROWID","YEAR","DATANUM","SERIAL","HHWT","HHTYPE","REGION","STATEFIP","COUNTY","METRO","CITY","GQ","FRIDGE","PHONE","CINETHH","CILAPTOP","CISMRTPHN","CITABLET","CIHISPEED","VEHICLES","PERNUM","PERWT","RELATE","RELATED","SEX","AGE","BIRTHQTR","MARST","BIRTHYR","MARRNO","MARRINYR","YRMARR","DIVINYR","RACE","RACED","BPL","BPLD","ANCESTR1","ANCESTR1D","ANCESTR2","ANCESTR2D","CITIZEN","SCHOOL","INCTOT","FTOTINC","INCWAGE","INCSS","INCWELFR","INCRETIR","POVERTY","VETDISAB","DIFFREM"
1024926,2016,1,437555,205,1,21,17,310,2,1190,1,2,2,1,1,1,1,10,1,3,215,3,301,2,17,3,6,1999,0,0,0,0,7,700,17,1700,211,2110,999,9990,0,2,0,30800,0,0,0,0,122,0,1
2428203,2016,1,1064399,62,1,12,42,0,0,0,1,2,2,1,1,1,1,10,2,2,73,2,201,1,49,2,1,1967,1,1,1988,1,1,100,34,3400,999,9990,999,9990,0,1,38000,96000,38000,0,0,0,501,1,1
2770338,2016,1,1214504,16,2,33,48,0,0,0,1,2,1,3,2,2,2,0,1,1,16,1,101,1,52,3,5,1964,1,1,1991,1,1,100,210,21070,940,9400,999,9990,1,1,500,580,0,0,0,0,3,0,1
3026168,2016,1,1321988,65,1,42,53,330,3,0,1,2,2,1,1,1,1,10,3,3,95,3,301,2,26,2,6,1990,0,0,0,0,8,811,53,5300,50,500,32,321,0,1,16930,346360,16700,0,0,0,501,0,1
654534,2016,1,272821,86,1,31,12,110,3,0,1,2,2,1,1,1,2,10,2,2,88,2,201,1,61,3,1,1955,1,1,1977,1,1,100,27,2700,32,321,142,1420,0,1,39000,154000,0,22000,0,17000,501,0,1
1847935,2016,1,805002,484,9,41,35,0,4,0,1,2,2,1,1,1,1,20,2,3,471,3,301,1,10,2,6,2006,0,0,0,0,7,700,35,3500,290,2900,999,9990,0,2,9999999,32000,999999,99999,99999,999999,114,0,1
989329,2016,1,422036,123,1,21,17,310,4,0,1,2,2,1,1,1,1,10,4,1,123,1,101,1,61,2,1,1955,2,1,1995,1,1,100,17,1700,152,1521,32,321,0,1,120000,124500,120000,0,0,0,501,0,1
2195785,2016,1,958988,161,4,21,39,610,4,0,1,2,2,1,1,1,2,10,1,1,161,1,101,1,56,2,4,1960,1,1,1985,1,2,200,39,3900,999,9990,999,9990,0,1,40000,40000,40000,0,0,0,322,0,1
2836748,2016,1,1242187,96,3,33,48,3550,2,0,2,2,2,1,1,1,1,10,9,6,87,12,1260,2,70,1,6,1946,0,0,0,0,6,600,515,51500,720,7200,999,9990,2,1,6000,6000,0,6000,0,0,53,0,1
1757532,2016,1,767193,58,1,12,34,30,3,0,1,2,2,1,1,2,1,10,2,2,65,2,201,2,56,4,1,1960,1,1,1987,1,1,100,36,3600,50,500,999,9990,0,1,17000,146000,10000,0,0,0,501,0,1
